file,source_type,pages_count,text_chars,references_count,style,dominant_bucket,foot_intext_total,foot_success_occurrences,foot_bib_unique_total,foot_missing_intext_expected_total,foot_missing_footnotes_for_seen_total,foot_uncited_footnote_total,tex_intext_total,tex_success_occurrences,tex_bib_unique_total,numeric_intext_total,numeric_success_occurrences,numeric_bib_unique_total,author_year_intext_total,author_year_success_occurrences,author_year_bib_unique_total
python_backend_legacy/dataset/837d4c4ec81e36f030c0e313e3edc67ab5a82327f6bbc85ec498dcd2b32b7142.json,raw_json,20,44121,1,author_year,author_year,0,0,0,0,0,0,0,0,0,0,0,0,45,45,93
python_backend_legacy/dataset/859db331cea2d7f701413947210997979107b7b5684026748662e7d5fa6fd2c9.json,raw_json,26,65912,1,author_year,author_year,1,0,0,0,1,0,0,0,0,0,0,6,59,58,94
python_backend_legacy/dataset/85a06210ba37a457f231d4c407c75904763f2e61ec9ec1b77a383f604fead1ef.json,raw_json,21,33100,1,hybrid,tex,0,0,0,0,0,0,9,9,156,5,1,10,0,0,131
python_backend_legacy/dataset/8654ac1aad5628bc9ff47c874fb0e42dbf0a361d68080c89636b65495bfdb70f.json,raw_json,33,81622,0,hybrid,tex,0,0,0,0,0,0,31,0,0,7,0,0,2,0,0
python_backend_legacy/dataset/86700e6c8b31870d656cacf5d8d5a44b07efba228c4d9418b71c7793b36f9f72.json,raw_json,24,57356,0,hybrid,tex,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0
python_backend_legacy/dataset/8725332ddb1a15d8861d2dc7dc3f0a75f67785327062dbcd0400808fef760281.json,raw_json,14,36904,0,numeric,numeric,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0
python_backend_legacy/dataset/87bff62d61df15839c3fba87c3079c11567f62e4b6a035ee99c490a13f93bba9.json,raw_json,39,109327,0,numeric,numeric,5,0,0,104,5,0,0,0,0,26,0,0,6,0,0
python_backend_legacy/dataset/88557afcea30c66a027af0998ad123538dc50c0fdf123f8fe42ce3e6f7659313.json,raw_json,21,55257,1,author_year,author_year,5,0,0,15,5,0,0,0,0,0,0,0,62,57,180
python_backend_legacy/dataset/890721b7f31b34f7ada01e908c4a7b1646f38f0cd5ecf9266371f90bc7ce17e8.json,raw_json,59,83928,0,hybrid,tex,0,0,0,0,0,0,21,0,0,3,0,0,0,0,0
python_backend_legacy/dataset/8946ce5dd7a038fce14be1581266f16af67b60f9a228e1c26ed3020ab439e232.json,raw_json,40,128184,0,tex_superscript,tex,8,0,0,106,8,0,0,0,0,46,0,0,6,0,0
